column,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
GW,1,1,1,1,1,1,1
assists,1,1,1,1,1,1,1
bonus,1,1,1,1,1,1,1
bps,1,1,1,1,1,1,1
clean_sheets,1,1,1,1,1,1,1
clearances_blocks_interceptions,0,0,0,0,0,0,1
creativity,1,1,1,1,1,1,1
defensive_contribution,0,0,0,0,0,0,1
element,1,1,1,1,1,1,1
expected_assists,0,0,0,1,1,1,1
expected_goal_involvements,0,0,0,1,1,1,1
expected_goals,0,0,0,1,1,1,1
expected_goals_conceded,0,0,0,1,1,1,1
fixture,1,1,1,1,1,1,1
goals_conceded,1,1,1,1,1,1,1
goals_scored,1,1,1,1,1,1,1
ict_index,1,1,1,1,1,1,1
influence,1,1,1,1,1,1,1
kickoff_time,1,1,1,1,1,1,1
minutes,1,1,1,1,1,1,1
mng_clean_sheets,0,0,0,0,0,0.48639739177685204,0
mng_draw,0,0,0,0,0,0.48639739177685204,0
mng_goals_scored,0,0,0,0,0,0.48639739177685204,0
mng_loss,0,0,0,0,0,0.48639739177685204,0
mng_underdog_draw,0,0,0,0,0,0.48639739177685204,0
mng_underdog_win,0,0,0,0,0,0.48639739177685204,0
mng_win,0,0,0,0,0,0.48639739177685204,0
modified,0,0,0,0,0,1,1
name,1,1,1,1,1,1,1
opponent_team,1,1,1,1,1,1,1
own_goals,1,1,1,1,1,1,1
penalties_missed,1,1,1,1,1,1,1
penalties_saved,1,1,1,1,1,1,1
position,0,1,1,1,1,1,1
recoveries,0,0,0,0,0,0,1
red_cards,1,1,1,1,1,1,1
round,1,1,1,1,1,1,1
saves,1,1,1,1,1,1,1
selected,1,1,1,1,1,1,1
starts,0,0,0,1,1,1,1
tackles,0,0,0,0,0,0,1
team,0,1,1,1,1,1,1
team_a_score,0.9973847517730496,1,1,1,1,1,1
team_h_score,0.9973847517730496,1,1,1,1,1,1
threat,1,1,1,1,1,1,1
total_points,1,1,1,1,1,1,1
transfers_balance,1,1,1,1,1,1,1
transfers_in,1,1,1,1,1,1,1
transfers_out,1,1,1,1,1,1,1
value,1,1,1,1,1,1,1
was_home,1,1,1,1,1,1,1
xP,0,1,1,1,1,1,1
yellow_cards,1,1,1,1,1,1,1
