season,gw,fixtures_in_gw,players_affected
2019-20,24,2,65
2019-20,29,2,59
2019-20,39,2,123
2020-21,19,2,346
2020-21,24,2,132
2020-21,25,2,69
2020-21,26,2,473
2020-21,27,2,70
2020-21,32,2,33
2020-21,35,2,275
2020-21,35,3,39
2021-22,21,2,68
2021-22,22,2,136
2021-22,23,2,76
2021-22,25,2,67
2021-22,26,2,294
2021-22,27,2,30
2021-22,28,2,295
2021-22,29,2,227
2021-22,31,2,73
2021-22,33,2,242
2021-22,34,2,66
2021-22,36,2,464
2021-22,37,2,179
2022-23,19,2,76
2022-23,20,2,135
2022-23,22,2,75
2022-23,23,2,65
2022-23,25,2,146
2022-23,27,2,148
2022-23,29,2,459
2022-23,34,2,215
2022-23,36,2,73
2022-23,37,2,156
2023-24,7,2,82
2023-24,25,2,159
2023-24,28,2,86
2023-24,34,2,284
2023-24,35,2,101
2023-24,37,2,271
2024-25,24,2,69
2024-25,25,2,79
2024-25,32,2,71
2024-25,33,2,155
2025-26,1,2,2
2025-26,2,2,1
2025-26,3,2,1
2025-26,4,2,1
2025-26,5,2,1
2025-26,6,2,1
2025-26,7,2,1
2025-26,8,2,1
2025-26,9,2,1
2025-26,26,2,79
2025-26,33,2,248
2025-26,36,2,82
