season,element,fixture,n
2019-20,1,275,2
2019-20,2,275,2
2019-20,3,275,2
2019-20,4,275,2
2019-20,5,275,2
2019-20,6,275,2
2019-20,7,275,2
2019-20,8,275,2
2019-20,9,275,2
2019-20,10,275,2
2019-20,11,275,2
2019-20,12,275,2
2019-20,13,275,2
2019-20,14,275,2
2019-20,15,275,2
2019-20,16,275,2
2019-20,18,275,2
2019-20,19,275,2
2019-20,20,275,2
2019-20,21,275,2
2019-20,106,275,2
2019-20,202,275,2
2019-20,203,275,2
2019-20,204,275,2
2019-20,206,275,2
2019-20,207,275,2
2019-20,208,275,2
2019-20,209,275,2
2019-20,210,275,2
2019-20,211,275,2
2019-20,212,275,2
2019-20,213,275,2
2019-20,214,275,2
2019-20,215,275,2
2019-20,216,275,2
2019-20,217,275,2
2019-20,218,275,2
2019-20,219,275,2
2019-20,220,275,2
2019-20,221,275,2
2019-20,222,275,2
2019-20,427,275,2
2019-20,440,275,2
2019-20,443,275,2
2019-20,467,275,2
2019-20,469,275,2
2019-20,486,275,2
2019-20,488,275,2
2019-20,489,275,2
2019-20,490,275,2
2019-20,504,275,2
2019-20,515,275,2
2019-20,518,275,2
2019-20,541,275,2
2019-20,544,275,2
2019-20,562,275,2
2019-20,576,275,2
2019-20,585,275,2
2019-20,617,275,2
2025-26,100,1,2
2025-26,100,12,2
2025-26,100,29,2
2025-26,100,32,2
2025-26,100,42,2
2025-26,100,56,2
2025-26,100,63,2
2025-26,100,73,2
2025-26,100,83,2
2025-26,391,1,2
