sn,a,b,dist
taylor,caleb_taylor,dale_taylor,2
taylor,dale_taylor,lyle_taylor,2
brooks,alfie_brooks,andre_brooks,3
jones,jaydon_jones,jenson_jones,3
liam,gibbs_liam,gibson_liam,3
mcnally,alfie_mcnally,luke_mcnally,3
shea,james_shea,lacey_shea,3
taylor,caleb_taylor,lyle_taylor,3
taylor,dale_taylor,jack_taylor,3
taylor,dale_taylor,joe_taylor,3
taylor,jack_taylor,joe_taylor,3
taylor,joe_taylor,lyle_taylor,3
zak,johnson_zak,swanson_zak,3
jake,cain_jake,evans_jake,4
jamie,bowden_jamie,donley_jamie,4
joseph,hodge_joseph,hungbo_joseph,4
josh,feeney_josh,gracey_josh,4
ryan,inniss_ryan,manning_ryan,4
taylor,caleb_taylor,jack_taylor,4
taylor,caleb_taylor,joe_taylor,4
taylor,jack_taylor,lyle_taylor,4
thomas,allan_thomas,jordan_thomas,4
tom,cannon_tom,taylor_tom,4
watson,louie_watson,tom_watson,4
watts,caleb_watts,kell_watts,4
