element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,selected_by_percent,form,minutes,starts,transfers_in_event,transfers_out_event,ep_this,ep_next,team,snapshot_time,snapshot_date,next_gw,current_gw,next_deadline,hours_to_deadline
1,Raya,David,Raya Martín,1,1,a,NA,NA,,NA,60,30.7,0.0,3330,37,0,0,NA,4.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,a,NA,NA,,NA,50,0.2,0.0,90,1,0,0,NA,2.6,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
3,Meslier,Illan,Meslier,1,1,a,NA,NA,,NA,50,0.1,0.0,0,0,0,0,NA,2.6,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,a,NA,NA,,NA,80,25.8,0.0,2750,30,0,0,NA,4.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
5,J.Timber,Jurriën,Timber,1,2,i,NA,0,Groin injury - Expected back 21 Aug,2026-07-23T12:01:23.272929Z,65,0.5,0.0,2452,28,0,0,NA,0.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
6,Saliba,William,Saliba,1,2,i,NA,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,0.5,0.0,2614,30,0,0,NA,0.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,a,NA,NA,,NA,55,0.3,0.0,697,5,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
8,Calafiori,Riccardo,Calafiori,1,2,a,NA,NA,,NA,55,15.1,0.0,1697,22,0,0,NA,2.5,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
9,Hincapie,Piero,Hincapié,1,2,a,NA,NA,,NA,55,4.4,0.0,1787,20,0,0,NA,2.5,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
10,White,Benjamin,White,1,2,a,NA,100,,2026-07-23T12:01:23.305229Z,55,0.2,0.0,699,9,0,0,NA,2.5,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
11,Mosquera,Cristhian,Mosquera,1,2,a,NA,NA,,NA,55,16.8,0.0,986,9,0,0,NA,2.5,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
12,Saka,Bukayo,Saka,1,3,a,NA,NA,,NA,95,10.6,0.0,2218,25,0,0,NA,3.2,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
13,Rice,Declan,Rice,1,3,a,NA,NA,,NA,75,22.3,0.0,3093,35,0,0,NA,2.6,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
14,Eze,Eberechi,Eze,1,3,a,NA,NA,,NA,65,3.3,0.0,1885,22,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
15,Ødegaard,Martin,Ødegaard,1,3,a,NA,NA,,NA,65,3.0,0.0,1363,16,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
16,Madueke,Noni,Madueke,1,3,a,NA,NA,,NA,65,0.4,0.0,1205,16,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
17,Merino,Mikel,Merino Zazón,1,3,a,NA,NA,,NA,60,1.2,0.0,1024,10,0,0,NA,2.1,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
18,Martinelli,Gabriel,Martinelli Silva,1,3,a,NA,NA,,NA,65,0.3,0.0,1065,11,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,a,NA,NA,,NA,55,1.5,0.0,2991,34,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
20,Dowman,Max,Dowman,1,3,a,NA,NA,,NA,55,0.2,0.0,152,1,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
21,Nørgaard,Christian,Nørgaard,1,3,a,NA,NA,,NA,50,0.3,0.0,101,1,0,0,NA,1.5,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
22,Nwaneri,Ethan,Nwaneri,1,3,a,NA,NA,,NA,55,0.0,0.0,165,0,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,a,NA,NA,,NA,55,0.0,0.0,0,0,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
24,Nelson,Reiss,Nelson,1,3,a,NA,NA,,NA,55,0.0,0.0,118,0,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
25,Gyökeres,Viktor,Gyökeres,1,4,a,NA,NA,,NA,75,13.1,0.0,2217,26,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
26,Havertz,Kai,Havertz,1,4,a,NA,NA,,NA,75,4.0,0.0,577,7,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
27,G.Jesus,Gabriel,Fernando de Jesus,1,4,a,NA,NA,,NA,60,0.4,0.0,418,3,0,0,NA,2.0,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
557,Tzolis,Christos,Tzolis,1,3,a,NA,NA,,NA,65,1.7,0.0,0,0,0,0,NA,2.3,ARS,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
28,Martinez,Emiliano,Martínez Romero,2,1,a,NA,NA,,NA,50,4.6,0.0,2835,32,0,0,NA,2.6,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
29,M.Bizot,Marco,Bizot,2,1,a,NA,NA,,NA,45,0.1,0.0,585,6,0,0,NA,1.9,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
