element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,cost_change_event,selected_by_percent,form,minutes,starts,total_points,transfers_in_event,transfers_out_event,ep_this,ep_next,team,season,snapshot_time,snapshot_date,current_gw,next_gw,next_deadline,hours_to_deadline
1,Raya,David,Raya Martín,1,1,a,NA,NA,,NA,60,0,30.7,0.0,3330,37,162,0,0,NA,4.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,a,NA,NA,,NA,50,0,0.2,0.0,90,1,2,0,0,NA,2.6,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
3,Meslier,Illan,Meslier,1,1,a,NA,NA,,NA,50,0,0.1,0.0,0,0,0,0,0,NA,2.6,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,a,NA,NA,,NA,80,0,25.8,0.0,2750,30,209,0,0,NA,4.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
5,J.Timber,Jurriën,Timber,1,2,i,NA,0,Groin injury - Expected back 21 Aug,2026-07-23T12:01:23.272929Z,65,0,0.5,0.0,2452,28,149,0,0,NA,0.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
6,Saliba,William,Saliba,1,2,i,NA,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,0,0.5,0.0,2614,30,137,0,0,NA,0.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,a,NA,NA,,NA,55,0,0.3,0.0,697,5,29,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
8,Calafiori,Riccardo,Calafiori,1,2,a,NA,NA,,NA,55,0,15.1,0.0,1697,22,109,0,0,NA,2.5,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
9,Hincapie,Piero,Hincapié,1,2,a,NA,NA,,NA,55,0,4.4,0.0,1787,20,87,0,0,NA,2.5,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
10,White,Benjamin,White,1,2,a,NA,100,,2026-07-23T12:01:23.305229Z,55,0,0.2,0.0,699,9,45,0,0,NA,2.5,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
11,Mosquera,Cristhian,Mosquera,1,2,a,NA,NA,,NA,55,0,16.8,0.0,986,9,40,0,0,NA,2.5,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
12,Saka,Bukayo,Saka,1,3,a,NA,NA,,NA,95,0,10.6,0.0,2218,25,157,0,0,NA,3.2,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
13,Rice,Declan,Rice,1,3,a,NA,NA,,NA,75,0,22.3,0.0,3093,35,184,0,0,NA,2.6,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
14,Eze,Eberechi,Eze,1,3,a,NA,NA,,NA,65,0,3.3,0.0,1885,22,113,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
15,Ødegaard,Martin,Ødegaard,1,3,a,NA,NA,,NA,65,0,3.0,0.0,1363,16,74,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
16,Madueke,Noni,Madueke,1,3,a,NA,NA,,NA,65,0,0.4,0.0,1205,16,72,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
17,Merino,Mikel,Merino Zazón,1,3,a,NA,NA,,NA,60,0,1.2,0.0,1024,10,67,0,0,NA,2.1,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
18,Martinelli,Gabriel,Martinelli Silva,1,3,a,NA,NA,,NA,65,0,0.3,0.0,1065,11,57,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,a,NA,NA,,NA,55,0,1.5,0.0,2991,34,133,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
20,Dowman,Max,Dowman,1,3,a,NA,NA,,NA,55,0,0.2,0.0,152,1,16,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
21,Nørgaard,Christian,Nørgaard,1,3,a,NA,NA,,NA,50,0,0.3,0.0,101,1,7,0,0,NA,1.5,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
22,Nwaneri,Ethan,Nwaneri,1,3,a,NA,NA,,NA,55,0,0.0,0.0,165,0,8,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,a,NA,NA,,NA,55,0,0.0,0.0,0,0,0,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
24,Nelson,Reiss,Nelson,1,3,a,NA,NA,,NA,55,0,0.0,0.0,118,0,13,0,0,NA,2.0,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
25,Gyökeres,Viktor,Gyökeres,1,4,a,NA,NA,,NA,75,0,13.1,0.0,2217,26,128,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
26,Havertz,Kai,Havertz,1,4,a,NA,NA,,NA,75,0,4.0,0.0,577,7,36,0,0,NA,2.3,ARS,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
